"idx","period","school","exp1","exp2","school_c","work1","work2","home"
515,19,10,17,0,0,1,0,0
515,20,10,18,0,0,1,0,0
515,21,10,19,0,0,1,0,0
515,22,10,20,0,0,1,0,0
515,23,10,21,0,0,1,0,0
515,24,10,22,0,0,1,0,0
515,25,10,23,0,0,1,0,0
515,26,10,24,0,0,1,0,0
515,27,10,25,0,0,1,0,0
515,28,10,26,0,0,1,0,0
515,29,10,27,0,0,1,0,0
515,30,10,28,0,0,1,0,0
515,31,10,28,1,0,0,1,0
515,32,10,29,1,0,1,0,0
515,33,10,30,1,0,1,0,0
515,34,10,31,1,0,1,0,0
515,35,10,32,1,0,1,0,0
515,36,10,33,1,0,1,0,0
515,37,10,34,1,0,1,0,0
515,38,10,35,1,0,1,0,0
515,39,10,36,1,0,1,0,0
515,40,10,37,1,0,1,0,0
516,1,10,0,0,0,0,0,0
516,2,10,1,0,0,1,0,0
516,3,10,2,0,0,1,0,0
516,4,10,3,0,0,1,0,0
516,5,10,4,0,0,1,0,0
516,6,10,5,0,0,1,0,0
516,7,10,5,0,0,0,0,1
516,8,10,5,0,0,0,0,1
516,9,10,6,0,0,1,0,0
516,10,10,7,0,0,1,0,0
516,11,10,8,0,0,1,0,0
516,12,10,9,0,0,1,0,0
516,13,10,10,0,0,1,0,0
516,14,10,11,0,0,1,0,0
516,15,10,11,0,0,0,0,1
516,16,10,12,0,0,1,0,0
516,17,10,13,0,0,1,0,0
516,18,10,14,0,0,1,0,0
516,19,10,15,0,0,1,0,0
516,20,10,16,0,0,1,0,0
516,21,10,17,0,0,1,0,0
516,22,10,18,0,0,1,0,0
516,23,10,19,0,0,1,0,0
516,24,10,20,0,0,1,0,0
516,25,10,21,0,0,1,0,0
516,26,10,22,0,0,1,0,0
516,27,10,23,0,0,1,0,0
516,28,10,24,0,0,1,0,0
516,29,10,25,0,0,1,0,0
516,30,10,26,0,0,1,0,0
516,31,10,27,0,0,1,0,0
516,32,10,28,0,0,1,0,0
516,33,10,29,0,0,1,0,0
516,34,10,30,0,0,1,0,0
516,35,10,31,0,0,1,0,0
516,36,10,32,0,0,1,0,0
516,37,10,33,0,0,1,0,0
516,38,10,34,0,0,1,0,0
516,39,10,35,0,0,1,0,0
516,40,10,36,0,0,1,0,0
517,1,10,0,0,0,0,0,0
517,2,10,1,0,0,1,0,0
517,3,10,2,0,0,1,0,0
517,4,10,3,0,0,1,0,0
517,5,10,4,0,0,1,0,0
517,6,10,5,0,0,1,0,0
517,7,10,5,0,0,0,0,1
517,8,10,6,0,0,1,0,0
517,9,10,7,0,0,1,0,0
517,10,10,8,0,0,1,0,0
517,11,10,9,0,0,1,0,0
517,12,10,10,0,0,1,0,0
517,13,10,11,0,0,1,0,0
517,14,10,12,0,0,1,0,0
517,15,10,13,0,0,1,0,0
517,16,10,14,0,0,1,0,0
